index,text,true_narratives,true_claims
10,"Strathy resident Benny Manson was unequivocal in his condemnation of the proposal. Mr Manson claimed turbines should be sited offshore to prevent the blight he said they cause to communities throughout the country.
“We live here and we don’t want your goddamn wind farm,” he told the Perth-based SSE trio. “All you’re doing is causing problems for everyone ““ you’re going to screw up this area.”",['N_2'],"['C_11_0', 'C_28_2', ‘C_5_0’, ‘C_29_0’]"
11,"in contrast, wind and solar generators are being built because they benefit from massive federal subsidies and often have guaranteed offtake contracts with large commercial and industrial users or municipal power utilities, all of whom want to claim they are 100% powered by renewable energy. of course, those claims omit the fact that we are all paying for backup power to support the grid when the wind and sun aren’t available.","['N_3', 'N_4', 'N_6']","['C_24_0', 'C_26_0', 'C_32_3']"
12,"republicans are almost totally opposed (with possible exceptions such as mary bono mack (r-calif.), who has an enormous windmill farm in her district). that unity has some democrats skittish. they recall the party-line 1993 house vote for pres. bill clinton's proposed btu tax, which was blocked in the u.s. senate. the vote became a major factor that helped create a gop majority in 1994's elections. the concern is whether history might repeat itself.",['N_0'],['C_0_0']
13,"industrial wind developers wield far too much influence over public policy, says craig rucker, president of the committee for a constructive tomorrow (cfact).
“although it’s encouraging to see people stand up to an industry that has gamed the system while defacing the countryside with gigantic turbines and unwanted power lines, sadly ‘big wind’ just got another extension on its decades-old federal subsidy and continues to throw its weight around at the state and local level,” rucker said.","['N_2', 'N_3', ’N_6’, ’N_5’]","['C_11_0', 'C_24_0', 'C_32_5']"
14,"i am thankful that we, because of tppf, will have the chance to represent our state’s fishermen and have our day in court to rectify this injustice. the american people are being lied to and they deserve the truth about offshore wind, not the slick pr, or webinars, or promises of thwarting climate change, brought to you courtesy of the emperor’s new wind clothes salesmen.
the fact is the promises are empty. u.s. commercial fishermen have been cast aside by our own federal government for no reason other than they are in the way of a contingent of our federal and foreign governments’ agendas. our own government will put american family businesses out of work, all for a lie—a lie which could cost commercial fishermen their jobs, their livelihoods, and their very lives if it isn’t stopped before it’s too late.","['N_2', 'N_3', 'N_6']","['C_23_0', 'C_25_3', 'C_2_0', 'C_32_0', 'C_32_3']"
15,"so why hasn’t boem acknowledged that it does not know noise impairment levels for large whales, and why hasn’t it revealed the existence of this program, which will produce the information it is “required to know” under the mmpa and esa?
the reason is obvious. the studies are being conducted right now and have not yet been completed. the final report  and conclusions of the studies are not scheduled for completion until june, 2025, almost two years from now.
boem is obviously hiding the existence of these critical studies. boem does not yet know the impact of sonar signals on baleen whales, it is very clear that under the marine mammal protection act boem is required to rely on ” the best scientific information available” in crafting underwater noise regulations. in its rush to authorize offshore wind construction before the elections in november 2024, boem is relying ln guesswork, and outdated guesswork at that. the federal code of regulations make it very clear that boem cannot hide behind the excuse that this critical information is not available, when it knows full well that the data will be derived from ongoing studies that are organized and funded by boem itself.
 at a minimum, this set of facts would support a temporary injunction prohibiting boem from issuing further ihas until the studies have been completed and the data has been incorporated into definitive regulations. any final environmental impact statement issued by the epa which fails to incorporate the data to be derived from these latest studies will be de facto misleading and de jure uinlawful.
when boem claims that “there is no evidence” linking the recent outbreak of whale deaths due to sonar testing, it is engaging in obvious and easily provable deception. this is a classic case of gaslighting. boem cannot sweep its “knowledge gap” concerning right whale noise impairment under the rug and expect the courts to approve any further offshore wind development.","['N_1', 'N_5', 'N_6']","['C_1_2', 'C_30_0', 'C_32_2', 'C_32_4', 'C_32_5']"
16,"craig rucker, president of cfact, has criticized dominion’s project as a “get rich quick boondoggle”. he adds: “this is just one more indication of dominion’s bad faith and attempted cover-up by sidestepping regulations that would not only protect the right whale but also help save many other marine species whose lives will be put in jeopardy by this unwanted and unnecessary project.”","['N_1', 'N_5', 'N_6']","['C_1_2', 'C_30_0', 'C_32_2', 'C_32_5']"
17,"battery projects are expensive and not included in the cost of solar and wind power when determining what technologies should be built, i.e., in the “levelized cost” projections often used to estimate relative costs of generation sources. as a result, consumers are seeing and will continue to see higher electricity prices.","['N_3', 'N_4']","['C_20_0', 'C_27_0']"
18,"offshore wind is expensive
the $126 million cost of the 20.7 megawatt wind farm equals a cost of $6.1 million per megawatt, which is 12 percent more expensive than the average cost of offshore wind ($5.4 million per megawatt) estimated by the energy information administration (eia). according to eia, offshore wind is one of the most expensive technologies in the slate of technologies it considers for its annual energy outlook: offshore wind’s capital costs are twice as expensive as the capital costs for onshore wind and over 4 times more expensive in operation and maintenance costs. it is unclear why a technology that is so expensive should be co-funded by $40 million of u.s. taxpayers’ money.
 some may remember other expensive outlays of federal funds such as solyndra that never made it in the private market.",['N_3'],"['C_21_0', 'C_24_0', 'C_27_0', 'C_28_1']"
19,"perhaps the ultimate example of the lilliputians' prevailing in the energy wars can be seen in the local opposition to an innovative plan to construct 130 windmills in nantucket sound. this ""wind farm"" would provide 75 percent of the power required for all the homes and businesses on cape cod and the elite playgrounds of nantucket and martha's vineyard.
 remarkably, robert f. kennedy, jr., the environmentalist nephew of sen. edward kennedy, objects to the plan, ostensibly because the spinning blades on the windmills might kill some migrating seabirds and threaten the livelihoods of a few fishermen. the real reason that kennedy and his uncle object to the plan -- and have successfully inserted language to bar the project in legislation reauthorizing the coast guard -- was dryly summed up by the congressional quarterly: ""the windmills,"" cq noted, ""would become part of the vista from the kennedy family's hyannisport compound."" can you say nimby?","['N_1', 'N_2', ’N_3']","[‘C_1_1’, ‘C_11_0’, ‘C_25_3’]"
20,"While offshore wind developers are promising tens of thousands of U.S. jobs from wind farm development along the East Coast over the next decade, the commercial fishing industry is sowing doubt about the projections. An economic analysis commissioned by the Responsible Offshore Development Alliance, a fishing industry coalition, concludes that “a surprisingly low” number of new positions will be permanent, and that the bulk of jobs will be created overseas. “The claim that the huge investments on offshore wind would provide significant job and economic benefits in the U.S. has been grossly inflated,” wrote the report’s author, Janet Liang, an economist with Georgetown Economic Services, a consulting firm.","['N_3', 'N_6']","['C_23_0', 'C_32_3']"
21,"Since 2019, the Golanese have been carrying out general strikes to confront the expansionist plan of the Turbines, which threatens to seize more than 600 hectares of their agricultural land, planted with cherry and apple trees.","['N_2', 'N_5']","['C_14_0', 'C_25_2', 'C_5_0']"
22,"game changer is hamm’s first book, and in addition to providing biographical detail, it is an ode to america’s energy independence. this is a particularly prescient topic now that the biden administration is discouraging the use of america’s resources and is encouraging reliance on chinese-made wind turbines, solar panels, and electric batteries for mandatory electric vehicles. worse still, since congress would not be able to pass such bills and get them signed into law, president biden is doing an end-run around our elected representatives and putting policies in place through environmental protection agency (epa) rules.","[’N_5’, 'N_7']","['C_33_0', 'C_37_0', 'C_38_0']"
23,"They say the development would ruin the unique and scenic flat-top mesas that rise from a boulder-strewn valley. It would damage plants and the habitat of endangered animals, and destroy Native American cultural sites that include nearly a thousand petroglyphs, they say.","['N_1', 'N_2']","['C_11_0', 'C_17_1', 'C_17_3', 'C_1_0']"
24,"Turning rotor blades will “cause the sunlight to flicker, and the hub of the turbine will make a high-pitched whine. At night, 24 blinking red lights will fill the sky facing the monastery, and the serenity that the monks and pilgrims have long sought will be gone, quite literally, with the wind,” said Tania Werbizky, league regional director of Technical and Grant Programs for western New York.","['N_2', 'N_8']","['C_11_0', 'C_17_0', 'C_6_0', 'C_7_0']"
25,"""Hopeless about life,"" she lost more than 10 kilograms. ""How is it that they [businessmen] come here and put up these things [wind turbines] without asking anyone's permission? Before, this was Sítio Sobradinho and now it's no longer that, now they are the owners and it can't be like this, we have our rights. I don't want to leave my place because my place was very peaceful, a place for you to live your whole life and now there's no way I can live here anymore. How can they come and do this and take away our peace? I can't accept this,"" lamented Edna Pereira.","['N_2', 'N_6', 'N_8']","['C_14_0', 'C_15_0', 'C_17_0', 'C_5_0', 'C_9_0']"
26,"Annemarie O’Brien, wife of the world’s greatest trainer Aidan, claims pylons and wind turbines pose a huge threat to the equine industry – and to tourism and agriculture.",['N_3'],"['C_25_0', 'C_25_1', 'C_25_2']"
27,"Many attending the meeting raised concerns that the turbines would impact negatively on local lifeline tourism. Several claimed it would lower the value of their home.
One member of the audience informed the meeting that earlier in the day, she had discovered that her property sale had fallen through because the buyer was concerned about the possibility of windfarm developments in the area.
Community council secretary Pam Lucas said: “We’re still considering our response.”
Balnain, near Drumnadrochit, is among many communities within a 22-mile radius of Loch Ness that campaigners fear will merge into a 600-plus turbine “ring of steel” on surrounding hillsides that could ultimately deter tourists.","['N_2', 'N_3']","['C_11_0', 'C_13_0', 'C_25_1', 'C_5_0']"
28,"price increases would jeopardize commercial activities, from manufacturing to artisan work to rates at hotels and restaurants, raising unemployment rates. public support for renewable initiatives would wither.
the energy department is attempting to eliminate fossil fuel use in puerto rico, but residents want greater industrial development and more reliable, cheaper fuels. energy availability creates jobs and a pathway to more productive economic growth. that’s what puerto rico needs.","['N_3', 'N_4']","['C_20_0', 'C_23_0', 'C_25_0', 'C_26_0', 'C_27_0', 'C_28_5']"
29,ratemaking practices for transmission that pass costs through to consumers take important intermittency risks away from wind generators and throw them on to non-wind producers and captive ratepayers.,"['N_3', 'N_4']","['C_20_0', 'C_22_0', 'C_26_0']"
30,"we can be preached to forever about “clean electricity” messages, and bedazzle farmers with the prospects of on-going revenue from renewables. however, the extensive mining worldwide for materials for millions of wind turbines and solar panels, and the decommissioning and restoration details, and the social changes that would be necessitated for societies to live without the thousands of products from petroleum derivatives remain the dark side of the unspoken realities of renewables.",['N_1'],"['C_32_3', 'C_3_0']"
31,"Wind generators take up a lot of space and spraying for crops would be a very serious issue, said Warren Sturgeon who owns a crop spraying service. His planes need a half-mile to safely turn around and in some places on the proposed turbine sites, there simply isn’t enough room. If they can’t do their job, it could cost jobs.
“This is not a good deal,” Sturgeon said. “People will get laid off.”
Aerial spraying is less expensive than other methods of spraying such as with a helicopter so it could cost land owners more to spray their fields. There is also a problem with wind drift for small aircraft as well as drifting insecticides and pesticides.","['N_2', 'N_3']","['C_4_0', 'C_23_0', ‘C_25_2’, ‘C_12_0’]"
33,"not only would these electricity prices [from increased use of renewables] exceed the highest u.s. prices, but the study acknowledges that ""low-income households… were particularly vulnerable to large retail rate increases.” already nearly half of puerto ricans live below the poverty line, and such drastic increases in costs could deepen socioeconomic disparities.
price increases would jeopardize commercial activities, from manufacturing to artisan work to rates at hotels and restaurants, raising unemployment rates. public support for renewable initiatives would wither.","['N_2', 'N_3']","['C_19_0', 'C_20_0', 'C_23_0', 'C_25_0']"
34,"Furthermore, it is far from clear that the wind will benefit our town economically. Developers talk about the benefit of jobs and increased local and state tax revenues. But while the 38-week leveling and construction phase will generate 200 jobs, when it ends only four to six permanent jobs will remain. Local property taxes will go down, but real estate prices will drop, too        – people do not want to live near turbines. The state and county may collect some tax dollars, but tourism will decline. Understand also that 60 percent of the cost of wind development that is paid with tax dollars        – stimulus money, production tax credits and accelerated depreciation        – and that we will need to fund new and upgraded transmission lines and construct back up conventional power plants.","['N_2', 'N_3', 'N_4']","['C_13_0', 'C_21_0', 'C_23_0', 'C_24_0', 'C_25_1', 'C_26_0']"
35,"while eia did not calculate the subsidies per unit of energy produced in fy 2016, the institute for energy research calculated the federal subsidies and support per unit of electricity production from the information provided in eia’s report for renewable technologies and nuclear power. because eia did not break out the electricity-related subsidies for coal, natural gas, and petroleum from their total subsidies, the subsidy per unit of energy produced could not be calculated for these sources of electricity. however, if one assumed that all of coal’s subsidies that eia calculated were for electricity production, the subsidy cost per unit of production for coal would be $1.04 per megawatt hour. however, it is more likely to be about 80 percent of that value. the figure below provides the subsidy costs per unit of production for those technologies that eia provided relevant data.
on a per dollar basis, government policies have led to solar generation being subsidized by over 95 times more than nuclear electricity production, and wind being subsidized over 12 times more than nuclear power on a unit of production basis.",['N_3'],"['C_24_0', 'C_28_4']"
36,"WILLIAMS – While contractors working on NextEra’s Perrin Ranch wind project build new roads and infrastructure, one existing road in the area is taking a beating.
Espee Road, the main access to Junipine Estates of Highway 64, is buckling under the weight of trucks hauling rocks to construction areas past the housing development located about 11 miles north of Williams.
Hank Rush, a resident of Junipine Estates, said driving conditions are less than ideal for residents traveling the road.
“They’re tearing up the road,” he said. “They re-patch it and then they tear it up again and re-patch it. I don’t understand why they didn’t go through Perrin Ranch itself instead of using Espee.”",['N_2'],['C_18_1']
37,"The project – they said – “calls for 18 towers, each 150 meters high, concrete footings for a total of 6 hectares, kilometers of new roads linking the towers, two huge electrical substations, kilometers of new power lines for connecting to the national grid …”",['N_0'],['C_0_0']
38,"In the case of this project, it will pose a serious risk to the navigation of local and international shipping and boating, as well as to the wind farms themselves in storm and tempest.",['N_2'],"['C_25_4', ‘C_16']"
39,"cfact has long called for an environmental assessment of the combined impact of the clusters of huge offshore wind facilities being pushed by the feds. each facility is being separately assessed even when they share a boundary.
in many cases, it is clear that the adverse impacts will overlap and compound the harm to marine life. an obvious example is the incredibly loud and potentially harmful noise of pile driving. this noise carries over fifty miles, so if two sites are pile driving within a few miles of each other, the noise has to be much worse when the impacts combine.","['N_1', 'N_5']","['C_1_2', 'C_30_0']"
40,"would biden aoc & co. require “responsible sourcing” for all gnd materials and components, meaning certified compliance with all us wage, workplace safety, child labor and environmental laws?
would they require that wind and solar companies go through an extensive, multi-year nepa environmental review process for every industrial installation and transmission line? demand compliance with the endangered species act, bald and golden eagle protection act, migratory bird treaty act, clean water act and other laws that have been strictly enforced for decades for other industrial facilities?
or will they claim all those turbines, panels, batteries and power lines are needed to “save the planet from imminent climate cataclysms,” and thus must be exempted from wildlife and environmental laws? will they claim killing birds, bats and other wildlife is “inadvertent” and “unintentional,” and thus should be excused or legalized – exempting even the massive slaughter associated with gnd-scale installations?","['N_1', 'N_5', 'N_6']","['C_1_1', 'C_30_0', 'C_31_0', 'C_32_4']"
42,"Defence Minister Andrew Murrison said the [wind] farm could interfere with radars and low flying operations.
Winchester MP Steve Brine said it would “compromise” armed forces personnel.",['N_7'],"['C_35_0', 'C_36_0']"
43,"“no other state in the country has four studies showing wind power is bad for consumers, the military, and the environment,” droz said.","['N_1', 'N_3', 'N_7']","['C_1_0', 'C_20_0', 'C_36_0']"
44,"The Nakhon Ratchasima Administrative Court ruled recently the Chaiyaphum land reform committee’s decision to lease the land to Thep Sathit Wind Farm Co was unlawful and ordered it revoked.
According to the court, the land lease for the company is in breach of the agricultural land reform law which requires that allowing Sor Por Kor land use for activities other than agriculture can be done only if those activities are in the interests of farmers.
Wind farms generate electricity, which is in the interests of the public. However, they are also a profit-making business and do not offer direct benefits to farmers, the court said. The court upheld the lower court’s decision.",[’N_5'],[‘C_31_0’]
45,"senator michael testa had a question for both rucker and other panelists regarding the greenhouse gas impact of the [wind] projects.
“have you seen…any studies of how much of a positive impact this project would have in the elimination of greenhouse gases,” senator testa asked. “i’ve been given a lot of information from constituents and from other concerned citizens that are not within my legislative district that they’ve seen studies that say the ultimate positive impact that this project would have if fully built out is actually zero.”
‘we are looking into that issue, we have a project called the ‘net zero reality coalition’ which is actually formed for that purpose to look at what projects like this are doing,” rucker said. “we have’t derived an answer for this specific project as of yet, however, it is a contention of the scientists and researchers we have on that, that actually it might increase green house gases…”",['N_1'],['C_2_0']
46,"u.k.’s onshore wind scheme could backfire, with far more potent greenhouse gas emissions",['N_1'],['C_2_0']
47,"Mexico resident Dr. Albert Aniel said that as a physician, he believes the main issue is wind turbine noise.
He then said there is an effort under way in the Legislature to amend the state’s noise regulations, which don’t pertain to wind turbines.
Aniel urged the board to work from the defeated ordinance and wait for the state to develop new noise regulations.","['N_5', 'N_8']","['C_30_0', 'C_6_0']"
48,"A petition organised by the development committee in Béal Átha ’n Ghaorthaidh, 5.5km from the proposed Curraglass wind farm, highlighted fears of potential fire and toxic smoke hazards associated with the battery storage facility, as well as the turbine height and concentration of wind farms in the area.","['N_2', 'N_8']","['C_12_0', 'C_5_0', 'C_9_0']"
49,"Other issues [with the wind farm] include vibration, noise and electromagnetic issues. Delfino later told ECM that fire is also an impact that was in her notes to discuss, but time ran short.","['N_2', 'N_8']","['C_10_0', 'C_12_0', 'C_6_0', 'C_8_0']"
50,"If [the wind farm is] added the scale would impact on living conditions of nearby residential properties, public footpaths and on listed buildings, the historic park and gardens at Hinwick House and effect an ancient monument, the Wold Moated Enclosure.","['N_2', 'N_8']","['C_16_0', 'C_17_1']"
